Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15
2010-01-01,120500000,118000000,98000000,129500000,55000000,129000000,55500000,77000000,99500000,51000000,113000000,55000000,95500000,73500000,53500000
2010-02-01,199500000,124000000,105000000,89000000,79500000,72000000,119500000,123500000,106500000,21000000,135000000,106000000,52500000,77500000,193000000
2010-03-01,16500000,123500000,53500000,62500000,53000000,112500000,5500000,31500000,125500000,48000000,97000000,100000000,77000000,169000000,115000000
2010-04-01,136000000,163000000,58000000,141000000,24500000,106000000,96500000,153500000,53500000,138500000,121500000,107500000,163500000,102000000,161000000
2010-05-01,115000000,146500000,89000000,106000000,22500000,144500000,179500000,142000000,61000000,125000000,226000000,126500000,199000000,100500000,80500000
2010-06-01,91000000,131500000,146000000,137500000,15500000,85000000,88000000,33000000,28500000,144500000,25000000,105000000,162000000,136000000,147500000
2010-07-01,163000000,196000000,13500000,120500000,113500000,74500000,105500000,59000000,44500000,134000000,64500000,166000000,110000000,70000000,107500000
2010-08-01,140000000,25000000,110500000,99000000,71000000,152000000,132000000,26000000,116500000,27500000,163500000,68000000,93000000,36500000,140500000
2010-09-01,142000000,110000000,22000000,150000000,115500000,57000000,170500000,44500000,124000000,153000000,34500000,167000000,135500000,108500000,93000000
2010-10-01,59000000,67500000,130000000,143000000,142000000,152000000,130500000,102000000,144500000,99000000,101000000,137500000,173500000,64000000,158500000
2010-11-01,23500000,155000000,42500000,77500000,139500000,84000000,11000000,131000000,126500000,29500000,48000000,204500000,117500000,81500000,117500000
2010-12-01,114000000,120000000,161000000,133500000,92000000,82500000,28500000,138000000,0,98500000,173000000,112500000,71500000,55500000,12500000
2011-01-01,48500000,40000000,129000000,85500000,129000000,80500000,195500000,192000000,81000000,79500000,87000000,93500000,116000000,106500000,26500000
2011-02-01,0,156000000,58000000,89500000,142500000,128000000,160000000,67000000,102000000,0,144000000,76500000,179000000,175500000,-28500000
2011-03-01,143500000,80000000,104000000,71500000,112500000,101500000,173500000,163000000,95500000,156500000,81000000,93000000,188500000,57000000,146500000
2011-04-01,107500000,93000000,186000000,71500000,133500000,128000000,10500000,97000000,77500000,115000000,149000000,196500000,132000000,9000000,34000000
2011-05-01,201000000,122500000,118500000,123000000,78000000,105000000,73000000,193500000,127000000,34500000,66500000,142000000,85000000,66000000,173000000
2011-06-01,152500000,38500000,104000000,113000000,74000000,103000000,102500000,29000000,41000000,102500000,46500000,123500000,31000000,60500000,148500000
2011-07-01,0,123000000,56000000,91000000,116000000,111000000,120000000,83000000,88500000,108000000,80000000,109000000,31500000,117500000,106000000
2011-08-01,185000000,68500000,191500000,187000000,57000000,121500000,110000000,139500000,56500000,143500000,312500000,92500000,10500000,95500000,127500000
2011-09-01,118000000,104000000,150000000,115000000,185500000,76000000,36000000,151000000,29000000,178500000,71500000,93500000,104500000,17500000,148000000
2011-10-01,216000000,86500000,140000000,207000000,50000000,102000000,55500000,118500000,61000000,11000000,106000000,100500000,98500000,16000000,98000000
2011-11-01,113000000,96500000,62500000,82500000,108500000,145500000,82500000,173500000,61500000,200500000,141000000,121500000,30000000,80000000,114000000
2011-12-01,97500000,24000000,69000000,128000000,140000000,172500000,30000000,109000000,36000000,135000000,108000000,142500000,76000000,104000000,126000000
2012-01-01,120500000,69500000,112500000,81000000,183000000,70000000,133000000,71500000,63500000,68000000,169500000,92000000,122000000,93000000,88000000
2012-02-01,116500000,164500000,73500000,32500000,25500000,85500000,102500000,122500000,163500000,154000000,114500000,168500000,92000000,186000000,199000000
2012-03-01,0,144000000,57000000,173000000,96000000,86500000,86500000,125500000,76500000,194500000,158500000,128500000,36500000,95500000,111000000
2012-04-01,101500000,27500000,71500000,106000000,194000000,20500000,102500000,131000000,65500000,162000000,29000000,63000000,34000000,53000000,145000000
2012-05-01,107000000,108000000,117500000,104500000,81000000,176000000,-28000000,124000000,95500000,158000000,183000000,88000000,76000000,118000000,115000000
