Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15
2010-01-01,95045,501273,429834,-352913,-69905,-188487,-179959,242415,269510,587689,-283773,-144819,125358,236732,-26555
2010-01-04,-140135,369071,153109,-58150,-117594,-228316,8420,128495,511988,520147,-93702,210985,293546,-482451,-179648
2010-01-05,-106757,3868,483559,-338545,961686,63960,119800,117420,39558,200587,170891,-371906,-146632,-166587,-81468
2010-01-06,219858,96525,-344514,370868,-12904,316266,316255,337336,-84866,-647487,-174369,51374,-74681,-251380,-421706
2010-01-07,-428523,460553,451364,-146414,-70628,-461173,-56680,16183,-197311,198913,-242029,-78368,-324409,103910,-149325
2010-01-08,-103448,-688522,474830,334426,-69005,704718,334738,-184133,-354430,-429028,228222,-276109,-413530,-20016,-88887
2010-01-11,149158,460950,542269,572338,270380,-178317,-190088,39920,125621,-152443,-299993,-315294,-29823,-470659,-76793
2010-01-12,114348,-88911,-79053,119131,289026,79180,-566302,228275,174779,302165,29195,-723407,102755,197810,-205778
2010-01-13,239662,-12814,324244,555242,154228,47831,619341,71779,656537,398722,-318493,-151868,84969,505828,-1070
2010-01-14,124082,49948,49631,666809,159174,-323582,-45803,-209046,298002,-111158,-222408,68330,401074,1013521,226116
2010-01-15,29622,176672,-408258,322385,-33090,225090,49145,-111979,102442,227588,50026,1067021,361833,-123731,90841
2010-01-18,260883,-104384,70938,-119768,387759,168115,340359,75129,-311652,385988,21524,-140501,37852,-420010,84165
2010-01-19,-84868,-69223,110545,-55685,-388471,-40135,412644,-17700,764042,229624,56694,-167843,-164600,-478094,-283972
2010-01-20,-137556,141221,120449,719905,-221343,-317721,233193,-44525,-237252,-113321,-209604,292845,-261320,-34468,-31427
2010-01-21,-45700,282891,313522,230115,1598,-79934,174251,283951,-738439,24036,192785,-64329,-953446,95604,-78908
2010-01-22,57335,232057,484970,103389,468506,-454282,37885,-132453,147278,-434725,-210543,5405,742887,-79267,107624
2010-01-25,160206,17484,84110,-467695,180953,451677,-111950,-183863,235262,350973,89157,-460423,122655,-163516,688559
2010-01-26,-146902,299957,-177901,-401671,227961,75302,224689,-44167,12462,82304,-512453,334254,427525,-624,-183593
2010-01-27,280540,195271,-142863,-268655,-137380,109141,116919,-499445,252391,256266,-149702,50876,316852,689530,-26727
2010-01-28,467866,277538,-50000,-250418,132284,120059,-116573,479293,-71980,156502,-65806,362152,459483,230813,504128
2010-01-29,-383157,-21062,-126678,-251825,225057,313080,369153,130791,-81035,118514,458423,318930,-16766,-7629,-339992
2010-02-01,485763,207801,198792,-197017,-284518,103009,-432862,205795,531094,171533,478303,316909,47515,202141,-415461
2010-02-02,-37799,-202913,-839972,25411,-7878,212437,-322005,7583,109475,87188,330074,-40686,-18839,-278043,-178191
2010-02-03,151132,640136,-17155,-405502,85403,63123,295764,-245276,335266,13412,49804,256163,54068,111599,-272357
2010-02-04,229668,-51568,-329884,-557876,301732,294582,-106861,-678037,-40225,410498,95633,130957,-552378,540986,-266234
2010-02-05,-274212,142834,576417,-346781,516004,-86123,-256959,157577,-96584,143302,-233333,-183452,-20763,205244,-326661
2010-02-08,-712813,-27344,-273219,-290720,298685,29355,277364,-11568,108378,281508,94099,-73203,486664,19095,636240
2010-02-09,196524,245157,-428426,174348,101222,-307026,-179114,677841,91989,745162,21708,-32316,428843,-479244,-85680
2010-02-10,-161503,713937,376041,301604,-993680,-140044,359878,-211896,-176060,-472993,310629,524055,-140212,-98632,317343
2010-02-11,73213,49111,495998,-767550,354219,40178,187458,-321225,-102420,-13634,-6626,321646,-171797,438901,342590
2010-02-12,48368,382423,-59798,-77546,4598,231549,677650,165251,-277666,-43895,335511,51403,380809,172245,414685
2010-02-15,-2992,70592,913912,-176430,-581578,-116559,-77620,60241,71151,-482624,-3277,-54528,169761,-13157,220703
2010-02-16,179240,-454549,-710637,392214,-456874,43447,-606133,-114843,430757,690640,34632,298174,45994,-201426,40808
2010-02-17,-299127,94539,83347,93513,92770,155708,29053,206479,-433484,-147626,232632,349762,-247953,163017,-21526
2010-02-18,-447119,240917,166542,149219,412478,207967,196344,123643,317872,-226965,-396200,81324,-182423,-23302,-99570
2010-02-19,422430,-9195,-78548,8863,338133,549285,-639305,23343,-473418,-222179,127568,220637,215079,21529,-168416
2010-02-22,-1357,-205783,-98682,164888,259109,-59668,647376,371943,82839,-387025,313148,-73757,35300,-300587,115264
2010-02-23,547203,282373,339661,-80565,628573,-370682,-12763,5699,-141019,127930,403003,-141923,-385549,-114748,50374
2010-02-24,-241447,-221577,61991,396074,-409056,503400,43564,144917,-265499,-69633,-601190,-270020,470901,-300653,188738
2010-02-25,-611564,115983,-192859,-442232,179654,215336,367253,87581,271079,99697,295032,264839,-461305,541810,322433
2010-02-26,-18853,-329001,701317,114410,-1017100,15346,108259,536077,15533,60104,-233247,386213,35583,-151442,-385306
2010-03-01,116297,552547,-413953,-96561,435863,129317,-823096,-3870,427421,-308621,74489,323071,-575581,-11730,-377857
2010-03-02,388845,202898,-39223,-296041,-89267,-87722,-433446,126109,446738,45710,-124272,90929,5922,-111989,273077
2010-03-03,-184644,-269938,213,586759,-599409,-9342,-86792,240683,-265242,51184,207659,-15338,-64308,-27301,37258
2010-03-04,78795,-139694,264448,-280234,-375178,-121508,390551,122299,-609246,18582,35766,-143891,391863,625358,120990
2010-03-05,-203426,-295923,-82192,115328,46300,-326654,-185710,221975,-39931,618555,-269750,-119771,636940,-175371,56210
2010-03-08,170411,-121805,-653836,221241,76179,-78645,-802609,214064,-466352,40849,-78948,-80804,9708,-254902,341684
